batter_position,start_state,end_state,count
2,3,4,8
11,11,8,1
3,21,17,26
11,9,12,61
9,7,3,2
9,22,18,10
3,4,4,3908
3,21,16,4
2,15,10,4
0,10,10,9
4,13,18,51
7,13,13,13021
10,3,2,2
5,21,18,393
2,15,11,9
1,23,19,8
3,3,4,11
11,13,9,7
5,15,14,153
1,17,20,45
6,21,16,6
11,4,4,917
9,1,4,342
8,1,2,5143
2,15,18,1
10,23,25,1
5,7,13,3
8,20,24,40
4,2,8,133
5,23,19,13
4,7,13,1
9,14,16,2
3,5,4,16
11,22,25,2
5,21,20,61
9,7,6,67
5,0,0,264477
7,17,17,75877
6,15,15,8099
3,13,18,33
3,22,20,189
11,15,12,2
8,5,12,74
11,1,8,186
11,23,20,5
6,7,11,4
1,2,8,76
1,23,16,3
4,5,12,51
6,22,20,143
1,11,13,55
7,11,16,1
8,21,24,243
8,21,16,5
2,15,14,165
1,5,8,2
4,15,11,4
6,10,8,51
10,10,10,12317
11,13,18,13
3,8,8,180792
10,17,20,189
9,3,5,93
5,20,20,18078
8,6,2,2
5,13,9,17
11,11,12,8
5,21,25,16
3,6,4,65
11,23,21,3
11,12,8,67
5,11,11,27251
4,19,19,31885
6,5,12,38
10,13,10,105
2,23,17,1
7,23,26,1
11,11,14,391
4,21,22,1074
6,23,20,2
9,1,2,4876
7,20,20,18398
7,16,16,159319
2,1,0,1
7,5,4,21
10,19,20,12
11,11,20,8
7,7,6,71
3,5,6,353
10,3,9,35
11,14,12,49
8,20,20,16668
10,7,6,26
8,3,9,90
11,17,17,22264
1,3,4,2
8,5,9,5
7,12,8,244
4,3,3,13215
10,15,18,1
5,13,18,60
1,11,14,300
5,2,4,641
11,11,11,12402
6,3,3,13435
6,15,19,9
11,15,22,8
9,3,4,13
6,13,13,10785
5,12,12,12398
5,15,24,2
5,19,24,203
7,4,4,3895
9,6,12,4
5,3,6,449
3,6,0,4
10,3,4,8
1,3,16,2
7,11,14,972
10,14,20,2
7,22,25,1
5,22,18,4
8,15,11,6
7,14,18,13
11,3,2,1
5,23,26,1
11,2,2,3950
5,5,12,58
1,22,16,4
2,22,20,156
0,21,22,3
1,13,12,17
7,5,12,48
6,19,21,139
8,11,12,20
7,4,8,6
3,6,10,4
10,11,9,1
9,2,8,97
7,7,13,4
11,19,17,1
2,21,18,383
5,23,20,3
0,1,1,1
1,15,21,8
9,6,2,3
3,18,24,128
0,0,0,1
4,5,10,9
11,1,0,2
5,11,16,1
6,13,17,39
10,4,0,22
4,13,24,5
1,19,22,335
6,23,23,10837
5,22,22,10721
7,19,20,11
5,7,14,7
7,13,24,2
0,17,18,3
8,7,3,4
0,19,22,2
9,14,10,6
8,12,8,236
6,17,18,6196
2,13,18,71
1,17,16,1
6,5,4,12
