batter_position,start_state,end_state,count
2,17,16,1700
3,23,22,266
1,5,1,1
2,12,9,2006
11,3,2,51
3,17,25,73
11,8,9,11124
7,4,10,7
7,14,24,110
4,4,2,237
6,6,6,32
11,22,19,7
2,18,22,8
3,20,24,12129
8,12,18,99
4,9,18,5716
8,6,0,74
4,13,24,1532
9,2,5,1770
3,7,22,105
10,9,10,454
1,6,24,1
6,1,10,12685
11,12,20,1386
9,11,8,945
7,7,16,2
1,7,20,96
2,12,24,146
5,3,4,108
10,18,21,418
7,14,9,606
7,11,21,2950
9,14,18,937
7,11,15,4222
10,7,3,89
4,10,13,2473
3,3,17,170
6,6,13,45
1,14,19,46
1,16,18,1525
7,18,25,220
11,17,19,4441
4,13,9,3
7,23,16,347
3,22,25,38
1,23,20,35
2,22,16,167
4,7,8,2
8,14,11,64
1,6,9,4
4,15,14,378
6,7,14,171
10,11,25,1
6,15,8,142
9,17,25,70
9,23,22,367
11,5,5,94
7,7,13,423
9,12,10,688
5,15,25,43
5,5,10,316
6,23,19,787
4,11,22,1592
9,4,4,43
7,6,14,1411
9,20,24,11234
4,10,16,149
7,5,17,28
0,17,20,1
6,14,20,1001
1,10,17,250
4,5,20,76
5,21,25,95
1,14,14,18
1,8,12,208
2,7,12,11
6,6,16,8
4,21,19,1865
7,10,8,918
8,4,9,24
10,9,11,5447
10,19,26,7
9,7,22,111
6,19,21,1311
6,13,17,2081
4,15,19,885
8,22,22,10
3,2,5,1609
6,7,19,35
8,8,8,4510
9,13,19,272
8,6,7,528
8,22,17,922
8,5,12,16
3,21,24,11199
6,13,22,277
9,7,17,16
4,3,1,4
11,21,23,750
2,1,8,30
5,12,13,1851
6,2,12,6172
9,19,18,863
9,5,13,1680
11,4,1,135
10,1,6,712
11,15,23,2397
1,23,21,250
3,15,24,1407
11,10,10,428
6,10,18,15015
5,18,18,2584
10,18,20,55
4,6,18,19
1,2,4,17
7,3,6,615
1,19,19,918
1,7,15,746
1,7,21,5
1,9,24,2905
4,11,17,127
1,13,18,453
10,6,10,157
7,11,20,58
9,23,17,10
10,23,23,512
1,11,16,4
1,0,1,18429
9,13,14,553
3,2,0,548
7,15,18,69
4,1,12,204
9,15,9,4
11,2,6,18
11,7,2,27
9,10,20,6296
7,21,18,333
11,9,12,118
2,15,11,582
5,12,16,2677
6,19,20,372
9,5,16,617
6,16,17,38165
5,22,24,6258
11,13,25,14
3,5,6,304
6,11,9,6
6,14,21,281
0,17,21,3
1,11,13,240
6,14,15,2065
11,5,0,39
1,1,5,377
7,11,24,3656
7,9,16,74
1,9,20,58
7,3,14,1992
8,7,5,124
3,13,13,883
6,1,3,13345
10,18,24,10126
3,15,20,25
2,4,1,627
11,1,8,7
3,10,9,2882
2,10,10,1594
2,15,23,3124
4,9,8,968
8,12,8,210
6,3,16,2
6,9,14,2249
3,21,20,142
2,21,23,1573
10,4,16,3
9,20,21,3065
7,9,13,4501
3,14,8,199
3,5,14,240
4,2,3,2220
8,19,23,4414
2,5,0,133
5,6,4,31
3,11,18,152
10,22,18,165
3,13,16,14
5,22,20,69
2,13,25,60
2,7,2,64
6,19,24,23972
1,3,9,12
2,2,6,70
1,20,17,823
4,20,16,184
9,10,24,368
10,2,8,31
5,8,16,133009
2,9,12,380
11,15,11,324
6,3,13,1270
10,7,11,136
8,11,10,307
3,15,15,1468
11,22,16,51
8,5,2,62
9,9,17,35346
8,23,26,106
1,23,24,6343
3,15,21,1034
6,2,2,793
6,7,6,148
2,17,19,13843
3,21,21,1021
6,20,18,635
8,7,0,73
10,5,4,9
5,11,12,233
2,12,20,3920
1,1,0,56
1,7,24,2
11,12,24,32
9,22,26,53
8,18,19,7097
10,15,12,26
4,1,2,887
5,13,11,1948
5,2,9,298
3,16,16,5129
11,7,12,5
4,6,1,190
1,12,12,13
7,1,10,7311
3,1,4,405
8,3,7,2554
4,5,24,2
6,4,10,7
0,17,24,57
6,14,24,139
9,20,20,126
10,3,10,15
2,5,5,296
5,22,21,299
9,8,10,9044
4,3,18,152
7,6,6,28
4,19,22,1047
9,15,21,984
8,3,5,461
7,6,13,40
5,17,21,3694
6,18,25,210
9,15,15,1487
3,9,17,33447
9,21,21,838
7,15,8,278
7,7,14,204
6,23,16,161
0,22,24,26
2,5,7,483
1,15,17,33
4,5,9,948
6,14,9,495
2,6,12,501
4,15,16,5
6,11,15,3675
3,22,26,49
10,12,17,91
1,21,17,6
4,21,16,216
6,11,21,2689
1,14,13,324
2,0,0,6403
7,6,16,12
9,16,16,4953
4,10,14,176
5,13,10,173
6,10,8,394
1,6,20,4
5,23,27,8
5,15,26,3
9,1,4,557
7,7,19,26
4,13,20,38
10,6,3,8
0,18,18,2
7,19,21,1806
7,13,17,2623
5,21,26,24
2,22,19,10
6,7,13,391
10,3,11,1984
7,23,19,619
4,15,13,260
3,20,20,108
8,1,9,28088
1,13,8,16
0,12,13,1
11,18,22,1
10,19,25,96
7,14,20,1158
1,14,16,18
3,8,10,8713
